case_id,model_name,layer,ffn_pos,ffn_neg,attn_pos,attn_neg,ffn_delta,attn_delta,pos_total,neg_total,total_delta
1485,gpt2-small,0,-5.0625,-14.69531,0.99902,-2.26758,-9.63281,-3.2666000000000004,-4.06348,-16.962889999999998,-12.899409999999998
1485,gpt2-small,1,-0.64209,-4.91016,2.00586,2.60742,-4.26807,0.6015599999999997,1.3637700000000001,-2.3027400000000005,-3.6665100000000006
1485,gpt2-small,2,0.92285,-2.94336,1.77441,0.08276,-3.86621,-1.69165,2.69726,-2.8606000000000003,-5.55786
1485,gpt2-small,3,0.15735,-0.97705,2.64648,0.0527,-1.1343999999999999,-2.5937799999999998,2.80383,-0.92435,-3.72818
1485,gpt2-small,4,2.98438,-1.65723,3.46289,0.21875,-4.64161,-3.24414,6.44727,-1.43848,-7.88575
1485,gpt2-small,5,7.74609,-1.47168,3.56445,3.22266,-9.21777,-0.34179000000000004,11.31054,1.7509799999999998,-9.55956
1485,gpt2-small,6,4.75,-3.36914,0.33398,4.23438,-8.11914,3.9004,5.08398,0.86524,-4.21874
1485,gpt2-small,7,-0.31616,-6.22656,1.49902,0.88672,-5.9104,-0.6123000000000001,1.18286,-5.339840000000001,-6.5227
1485,gpt2-small,8,4.33594,0.3186,9.03125,2.88086,-4.01734,-6.15039,13.36719,3.19946,-10.16773
1485,gpt2-small,9,5.86719,-9.35156,6.92969,1.1748,-15.21875,-5.75489,12.79688,-8.17676,-20.97364
1485,gpt2-small,10,22.71875,-0.76758,1.71875,2.55469,-23.48633,0.8359399999999999,24.4375,1.7871099999999998,-22.65039
1485,gpt2-small,11,22.73438,2.41602,2.54492,2.52734,-20.318360000000002,-0.017579999999999707,25.279300000000003,4.94336,-20.33594
1485,pythia-160m,0,0.41431,-0.24817,-1.02637,-2.28125,-0.66248,-1.25488,-0.61206,-2.52942,-1.91736
1485,pythia-160m,1,-0.38062,-0.12976,-2.02148,-2.38672,0.25086,-0.36524,-2.4021,-2.51648,-0.11438000000000015
1485,pythia-160m,2,0.40894,-0.29858,1.42969,-0.54248,-0.70752,-1.9721699999999998,1.83863,-0.8410599999999999,-2.67969
1485,pythia-160m,3,1.6748,1.71484,-2.76562,1.25293,0.040039999999999853,4.01855,-1.0908200000000001,2.96777,4.05859
1485,pythia-160m,4,1.54785,-0.47949,-0.97949,-0.63379,-2.02734,0.3457,0.56836,-1.11328,-1.68164
1485,pythia-160m,5,2.375,1.5625,2.47461,1.7832,-0.8125,-0.6914100000000003,4.84961,3.3457,-1.5039100000000003
1485,pythia-160m,6,-0.04065,0.56787,-1.86523,-2.2168,0.60852,-0.35157000000000016,-1.90588,-1.64893,0.25695
1485,pythia-160m,7,4.25391,-1.71875,1.43457,2.26172,-5.97266,0.82715,5.68848,0.54297,-5.14551
1485,pythia-160m,8,-0.41235,-1.91309,0.14758,0.23242,-1.50074,0.08484,-0.26477,-1.6806699999999999,-1.4159
1485,pythia-160m,9,0.47168,-3.14453,2.11914,1.50586,-3.61621,-0.6132799999999998,2.59082,-1.63867,-4.22949
1485,pythia-160m,10,5.34375,5.26562,1.96387,2.15625,-0.07812999999999981,0.19238,7.30762,7.42187,0.11425000000000018
1485,pythia-160m,11,55.03125,13.57812,5.8125,6.50391,-41.45313,0.6914100000000003,60.84375,20.08203,-40.76172
